Child/Youth restraint,0,0,0,0,0,0,0.0
Child restraint forward,6,7,8,13,18,10,0.0
Child restraint rear,2,1,5,5,3,3,0.0
Booster seat,0,1,1,0,0,0,0.0
Child restraint unknown,9,10,10,10,11,10,0.0
Mc/Bike helmet,650,679,708,669,668,675,0.3
Mc/bike shield only,12,12,10,13,14,12,0.0
Mc/bike helmet & shield,417,379,357,356,326,367,0.2
Protective pads,9,6,7,4,5,6,0.0
Reflective clothing,16,19,16,18,16,17,0.0
Lighting,4,7,6,5,6,6,0.0
Air bag only,0,0,0,0,0,0,0.0
Air bag and belts,0,0,0,1,1,0,0.0
Other,224,177,179,150,128,172,0.1
Unknown,"48,921","42,699","49,269","46,470","48,916","47,255",23.6
Total  Drivers,"218,206","175,108","202,443","201,320","205,093","200,434",100.0
Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
Not Applicable,"1,245","1,161","1,431","1,413","1,566","1,363",5.0
None,"1,200","1,297","1,386","1,351","1,375","1,322",4.8
Lap belt only,111,95,118,105,109,108,0.4
Shoulder belt only,234,178,154,165,177,182,0.7
Shoulder/Lap belt(s),"25,394","18,713","20,940","20,819","20,973","21,368",78.1
Child/Youth restraint,0,0,0,0,0,0,0.0
Child restraint forward,1,0,1,2,3,1,0.0
Child restraint rear,0,1,1,0,0,0,0.0
Booster seat,0,0,0,0,0,0,0.0
Child restraint unknown,0,1,0,2,2,1,0.0
Mc/Bike helmet,479,499,497,497,472,489,1.8
Mc/bike shield only,9,10,7,7,9,8,0.0
Mc/bike helmet & shield,299,264,271,274,248,271,1.0
Protective pads,1,2,3,2,1,2,0.0
Reflective clothing,3,2,5,4,2,3,0.0
Lighting,2,0,3,1,0,1,0.0
Air bag only,0,0,0,0,0,0,0.0
Air bag and belts,0,0,0,0,0,0,0.0
Other,22,19,13,14,14,16,0.1
Unknown,"2,330","1,949","2,354","2,296","2,265","2,239",8.2
Driver Injuries,"31,330","24,191","27,184","26,952","27,216","27,375",100.0
Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
Not Applicable,3,4,8,9,9,7,1.9
None,82,114,125,131,95,109,32.3
Lap belt only,0,0,1,0,2,1,0.2
Shoulder belt only,0,1,1,3,1,1,0.4
Shoulder/Lap belt(s),107,110,114,122,126,116,34.2
Child/Youth restraint,0,0,0,0,0,0,0.0
Child restraint forward,0,0,0,0,0,0,0.0
Child restraint rear,0,0,0,0,0,0,0.0
Booster seat,0,0,0,0,0,0,0.0
Child restraint unk.,0,0,0,0,0,0,0.0
Mc/Bike helmet,45,43,42,40,60,46,13.6
Mc/bike shield only,0,1,0,2,0,1,0.2
Mc/bike helmet & shield,21,28,20,16,13,20,5.8
Protective pads,0,0,0,0,0,0,0.0
Reflective clothing,0,0,0,0,0,0,0.0
Lighting,0,0,0,0,0,0,0.0
Air bag only,0,0,0,0,0,0,0.0
Air bag and belts,0,0,0,0,1,0,0.1
Other,0,0,1,2,0,1,0.2
Unknown,46,48,31,25,42,38,11.3
Driver Fatalities,304,349,343,350,349,339,100.0
"",,,,,,,
Passenger  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,"6,359","4,143","5,174","5,282","5,280","5,248",9.5
5 - 9,"7,370","3,699","4,967","5,838","5,952","5,565",10.1
10 - 11,"3,252","1,394","2,010","2,594","2,760","2,402",4.4
12 - 13,"3,296","1,519","1,947","2,859","3,275","2,579",4.7
14 - 15,"3,211","1,771","2,185","3,023","3,491","2,736",5.0
16 - 17,"3,843","2,565","2,739","3,097","3,518","3,152",5.7
18 - 19,"3,622","2,880","2,977","2,946","3,072","3,099",5.6
20 - 24,"6,481","5,777","6,480","6,284","6,256","6,256",11.4
25  -  29,"5,264","4,347","4,520","4,184","4,362","4,535",8.2
30  -  34,"4,097","3,478","3,874","3,660","3,671","3,756",6.8
35  -  39,"3,192","2,632","2,945","2,821","2,967","2,911",5.3
40  -  44,"2,469","2,020","2,319","2,395","2,503","2,341",4.3
45  -  49,"2,257","1,636","1,852","1,710","1,884","1,868",3.4
50  -  54,"2,254","1,631","1,803","1,737","1,790","1,843",3.3
55  -  59,"2,245","1,520","1,653","1,606","1,677","1,740",3.2
60  -  64,"1,733","1,204","1,396","1,477","1,480","1,458",2.6
65  -  69,"1,243",822,981,"1,130","1,196","1,074",2.0
70  -  79,"1,569",936,"1,319","1,419","1,506","1,350",2.5
80  +,"1,733",754,934,"1,168",912,"1,100",2.0
Unknown,3,2,7,6,2,4,0.0
"",,,,,,,
Passenger  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,"1,232",730,896,849,823,906,8.2
5 - 9,"1,142",724,829,875,901,894,8.1
10 - 11,470,255,349,362,329,353,3.2
12 - 13,394,229,321,324,335,321,2.9
14 - 15,419,257,360,385,455,375,3.4
16 - 17,640,492,494,506,502,527,4.8
18 - 19,741,630,580,533,534,604,5.5
20 - 24,"1,449","1,199","1,366","1,230","1,201","1,289",11.6
25  -  29,"1,255",973,916,894,974,"1,002",9.1
30  -  34,978,817,796,787,839,843,7.6
35  -  39,761,638,619,610,650,656,5.9
40  -  44,592,452,527,556,527,531,4.8
45  -  49,606,415,391,383,440,447,4.0
50  -  54,644,461,467,478,473,505,4.6
55  -  59,683,459,493,472,433,508,4.6
60  -  64,538,336,385,405,422,417,3.8
65  -  69,351,244,269,310,342,303,2.7
70  -  79,444,292,351,389,400,375,3.4
80  +,288,162,188,214,224,215,1.9
Unknown,0,1,2,2,0,1,0.0
"",,,,,,,
Passenger  Age,2019,2020,2021,2022,2023,AVG.,%
Under 5,5,2,5,2,2,3,3.9
5 - 9,7,1,1,2,1,2,2.9
10 - 11,2,0,1,0,0,1,0.7
12 - 13,0,0,2,1,0,1,0.7
14 - 15,4,0,0,2,6,2,2.9
16 - 17,2,2,3,3,4,3,3.4
18 - 19,4,6,3,4,4,4,5.1
20 - 24,17,10,10,6,12,11,13.4
25  -  29,7,9,13,3,6,8,9.3
30  -  34,6,7,8,4,8,7,8.1
35  -  39,2,4,5,6,3,4,4.9
40  -  44,3,7,6,1,3,4,4.9
45  -  49,5,3,1,10,5,5,5.9
50  -  54,3,6,0,8,2,4,4.6
55  -  59,4,1,3,1,3,2,2.9
60  -  64,3,1,1,2,7,3,3.4
65  -  69,5,1,4,4,6,4,4.9
70  -  79,6,5,5,3,8,5,6.6
80  +,9,6,12,4,11,8,10.3
Unknown,2,0,0,1,1,1,1.0
Passenger Fatalities,96,71,83,67,92,82,100.0
"",,,,,
senger  Gender,2019,2020,2021,2022,202
Male,"30,890","21,168","24,465","26,009","26,86"
Female,"33,615","23,234","27,129","28,382","29,77"
Unknown,988,328,488,845,912
al  Passengers,"65,493","44,730","52,082","55,236","57,55"
"",,,,,
"",,,,,
senger  Gender,2019,2020,2021,2022,202
Male,"5,473","3,974","4,327","4,261","4,28"
"8,074","5,744","6,238","6,257","6,44",
"",,,,,,,
Passenger  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"30,890","21,168","24,465","26,009","26,865","25,879",47.0
Female,"33,615","23,234","27,129","28,382","29,777","28,427",51.7
Unknown,988,328,488,845,912,712,1.3
"",,,,,,,
Passenger  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"5,473","3,974","4,327","4,261","4,280","4,463",40.3
Female,"8,074","5,744","6,238","6,257","6,444","6,551",59.2
Unknown,80,48,34,46,80,58,0.5
"",,,,,,,
Passenger  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,45,33,41,31,48,40,48.4
Female,49,37,42,35,42,41,50.1
Unknown,2,1,0,1,2,1,1.5
"",,,,,,,,
"",Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
"",Not Applicable,"5,949","3,144","3,889","5,142","6,110","4,847",8.8
"",None,"7,450","3,360","3,682","5,864","6,520","5,375",9.8
"",Lap belt only,765,388,522,603,642,584,1.1
"",Shoulder belt only,333,264,262,237,289,277,0.5
"",Shoulder/Lap belt(s),"39,188","29,507","34,098","33,559","34,169","34,104",62.0
"",Child/Youth restraint,0,0,0,0,0,0,0.0
